path,label
"data\plant_village\Pepper,_bell___Bacterial_spot\0d8421cd-eebc-4018-b591-12352dd970a7___JR_B.Spot 3234.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___Bacterial_spot\36223df9-bc20-4672-8938-6f1f60fb4a0e___NREC_B.Spot 1873.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Potato___Early_blight\cceeec9d-e0d9-4512-a1f0-faa5dc6bbf40___RS_Early.B 8381.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\003944fc-3b99-4a0f-9ed4-0e07352fd8b3___RS_HL 9844.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2168.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Early_blight\ed8eb85d-c4fa-4403-8b97-148ec0ac0661___RS_Erly.B 7642.JPG,Tomato___Early_blight
data\plant_village\Potato___Early_blight\6a74ff09-be5a-4412-a192-2370a37c0751___RS_Early.B 8584.JPG,Potato___Early_blight
"data\plant_village\Pepper,_bell___healthy\3b8c55fd-ddd6-4ab6-94e8-3be93b1728eb___JR_HL 5963.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___Bacterial_spot\33763f26-1135-458f-8b2b-34897b8bb647___JR_B.Spot 3323.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\9cfd45ac-fe8d-4962-90e8-b78a85908892___RS_Late.B 6221.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\c9c9c8b5-11a8-4553-9a37-c78f218dba2b___JR_B.Spot 8984.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___Bacterial_spot\307ade58-8297-4ca9-b412-7ab20f837dc3___NREC_B.Spot 1861.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___Bacterial_spot\7c481317-04e6-472c-a83b-39acb18631a3___JR_B.Spot 8999.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___Bacterial_spot\00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Early_blight\d1668361-aac6-41e3-b729-c5e5092326c1___RS_Erly.B 7562.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\c2f44d15-cc56-44eb-afce-b53e919becb9___GH_HL Leaf 398.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\049dbcab-de65-4f09-9b1b-e59886f56f2e___RS_Late.B 5141.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\90fd6e55-0c2c-4c8e-8742-5a87bc669633___RS_Erly.B 7356.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___healthy\21d172cd-9cac-4bad-bdcb-4f72eb265f5a___JR_HL 8422.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___Bacterial_spot\57337b7c-f7b3-4ed0-a249-921df1351cf1___JR_B.Spot 3243.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\7868d41c-77db-4a0e-90e3-b4a90a17bfdc___RS_Late.B 5401.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\665fd560-82b6-4af9-8f0a-0dbace910cb2___JR_B.Spot 9062.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___Bacterial_spot\5f4f7469-3f1c-4f29-a5f7-68f2e57ce261___JR_B.Spot 9030.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___healthy\910095f7-8a83-4aa3-96e2-b0dc0886fd0d___JR_HL 5994.JPG","Pepper,_bell___healthy"
data\plant_village\Potato___Late_blight\df919a28-9f11-42f6-823c-15f70bf1325e___RS_LB 4936.JPG,Potato___Late_blight
data\plant_village\Potato___Late_blight\2f419afc-a232-42c7-b0ff-92d928647a0f___RS_LB 4917.JPG,Potato___Late_blight
data\plant_village\Potato___Early_blight\7b95c3ad-d550-4cc8-96e0-549ec04c7dea___RS_Early.B 7342.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\ab8170dd-6785-4298-a0a3-d2d40e9e6558___RS_HL 0192.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1749.JPG,Corn_(maize)___Common_rust_
"data\plant_village\Pepper,_bell___Bacterial_spot\8e0378a5-e4c7-406a-bc7d-b3844a7b8811___JR_B.Spot 8868.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___Bacterial_spot\2c4a898a-9812-423b-bd8a-419a09699270___JR_B.Spot 8853.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Leaf_Mold\67b422e6-78d5-4943-8926-4a2ac8bbde52___Crnl_L.Mold 8843.JPG,Tomato___Leaf_Mold
"data\plant_village\Pepper,_bell___healthy\974b8791-d05c-42cf-91bf-4bd0684ecc28___JR_HL 7891.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\695709e4-d869-4003-97eb-b2de21d5d1a5___GHLB2ES Leaf 62.1.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\46ee2cd9-3312-43de-928e-6b9de2f01e82___JR_HL 7658.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\b842ca3c-1910-4ff3-8691-c7759830651a___RS_HL 9784.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\5600518d-5a2d-4155-a53b-cad312d7fbb1___GHLB_PS Leaf 26 Day 13.jpg,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\376e68b6-818c-4ed5-97d2-ec9b0ac55bff___NREC_B.Spot 9102.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Potato___Late_blight\f87fce12-78df-4a8c-92ff-8c0b83cc82b9___RS_LB 3025.JPG,Potato___Late_blight
data\plant_village\Potato___Early_blight\1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B 8303.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\0a31e630-0d98-416b-b0e4-88a88aad1dc5___RS_HL 9653.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\b8cf164c-05b8-455f-86de-fe785f40df9f___GHLB2 Leaf 8587.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\f0eb00dc-22da-4c8b-b86d-72157ea9e71d___RS_Erly.B 9610.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\0cb10f98-491d-4e1f-b8ea-4fb0f1b3675f___GH_HL Leaf 333.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\ca553e23-a738-485a-95e6-3b578477d3f4___RS_HL 9854.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\3c435a41-903c-4517-b79e-c01724be03a1___RS_HL 0422.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\9993c341-5a73-4ad2-ae78-2ea7d3c1ccf7___JR_HL 7710.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\37829073-ac95-4e17-a0d2-56bfb8358ebf___JR_HL 7819.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\4f975b18-03dc-444d-a1fd-67a4fe0143a6___JR_HL 5944.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\ef23fd72-1367-41c5-820f-c89533ad258e___GH_HL Leaf 303.1.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2564.JPG,Corn_(maize)___Common_rust_
data\plant_village\Potato___Early_blight\84546db4-ea7c-4357-bf3d-6afcae9a05bf___RS_Early.B 7637.JPG,Potato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\77d6d18a-0f6c-4417-80c6-42c0c9e7a83d___NREC_B.Spot 9147.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___healthy\db467743-857b-42b3-ab2a-a80e90467a99___RS_HL 0570.JPG,Tomato___healthy
data\plant_village\Potato___Early_blight\f164ce92-d109-47ca-9f75-380a7f16155a___RS_Early.B 7104.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\750a42ee-b73f-4137-934d-501b311a5528___GH_HL Leaf 330.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\f5aebbf7-df07-4682-8d3b-3dd46e2e36c4___GHLB2 Leaf 9092.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\77bd1b85-eaed-41f8-97b0-d6e91b6f953d___RS_Erly.B 8212.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\fabba25a-e191-47c5-a468-6acf744312e1___GHLB2 Leaf 8835.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\8e049c5d-6a3b-4972-94e3-057e6cbe3892___NREC_B.Spot 1901.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___healthy\c7136dd2-a014-45e0-bdfc-1167769adadc___JR_HL 7731.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\6f6d2197-8756-4771-ac32-61bd0bc31aa0___GHLB2 Leaf 9074.JPG,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\30677953-f7e1-4f57-95f2-288425b6bc02___Crnl_L.Mold 6938.JPG,Tomato___Leaf_Mold
"data\plant_village\Pepper,_bell___healthy\f3af7ac3-0b06-4dae-8494-719e65334e3b___JR_HL 8766.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\d3756978-23f4-48a2-a7e5-9b32c9453059___GHLB2 Leaf 160.3.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\b7ec200a-5db5-479e-99d0-c40009123835___JR_B.Spot 3128.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Potato___Early_blight\f48fc3b4-b7e7-4ad5-a651-0bf61a5173ff___RS_Early.B 8597.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\62d158a5-fda4-4bbd-af4e-9ef71858fc5f___RS_HL 9834.JPG,Tomato___healthy
data\plant_village\Tomato___Early_blight\bab7dc71-f5d2-4b07-a582-11a13f785b3d___RS_Erly.B 7764.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\c7c6bb21-8005-4584-b983-f5c35eb51e29___RS_Late.B 5061.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\ed406606-b59d-4a80-8184-ae8ecfda15af___JR_HL 8618.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\a78725bd-f2c9-405e-8591-c8b009f43ea7___RS_Late.B 4918.JPG,Tomato___Late_blight
data\plant_village\Potato___healthy\03da9931-e514-4cc7-b04a-8f474a133ce5___RS_HL 1830.JPG,Potato___healthy
data\plant_village\Tomato___healthy\45b3e6ad-f79c-4132-9bb5-9e9d26cbdfce___RS_HL 9908.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\98f98ff0-04fc-4c8d-ae01-baf0e9a25572___GHLB Leaf 8.1 Day 6.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\c56b4a9c-dd6f-48ac-ac94-c4fbf6194031___GH_HL Leaf 364.1.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2124.JPG,Corn_(maize)___Common_rust_
data\plant_village\Potato___Late_blight\c87b7e98-d4ed-446a-bf9e-47bd454f279b___RS_LB 2860.JPG,Potato___Late_blight
"data\plant_village\Pepper,_bell___healthy\95a9e556-6a4e-460b-9149-9d9d8de4ffa5___JR_HL 8015.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\729bd3cf-64cc-40d3-9cec-5f52e3c3aeb3___RS_Late.B 5630.JPG,Tomato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2137.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\07c3c887-da7d-4c81-b6ae-fabd1fb0ba5a___RS_HL 9681.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\9b2cfd07-d31c-4bc5-b055-dbb36090a4b1___JR_HL 8411.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\719352b5-1b4c-41e5-a517-3dfde18c13ef___RS_HL 0300.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\3fdbfdf3-ae31-49eb-8012-04cb4d3fc051___NREC_B.Spot 1973.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\1d83eef4-92a0-42a2-9ea7-1ec2e683dbc0___GHLB2 Leaf 8809.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\20b33342-6c05-4cab-9008-6f09548a0db9___RS_Late.B 5128.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\b3e24070-34b9-4dcb-8c84-026affadfb4b___GH_HL Leaf 360.JPG,Tomato___healthy
data\plant_village\Tomato___Leaf_Mold\fcfc6758-32cd-4e18-8d56-e3ffde988921___Crnl_L.Mold 6591.JPG,Tomato___Leaf_Mold
"data\plant_village\Pepper,_bell___healthy\afc07c50-8617-4644-845c-be6f85f20836___JR_HL 8776.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Leaf_Mold\9fb7c429-8238-4032-9a4e-e5ac25742f88___Crnl_L.Mold 6867.JPG,Tomato___Leaf_Mold
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1634.JPG,Corn_(maize)___Common_rust_
"data\plant_village\Pepper,_bell___healthy\1b71a13e-9f6d-4321-be6e-8a7410b76f0e___JR_HL 7724.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Early_blight\fb956247-8c0b-486a-b491-4d49e77e598e___RS_Erly.B 7842.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\1a939012-5b9b-4dfa-aeda-ba97ec857903___GH_HL Leaf 278.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\12342367-f62b-40d0-897b-77bd1edbd3d1___JR_B.Spot 3199.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2290.JPG,Corn_(maize)___Common_rust_
"data\plant_village\Pepper,_bell___Bacterial_spot\cd35e968-1e90-4fc9-a0d1-574b89bc3019___NREC_B.Spot 9082.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Early_blight\22b653c4-9e15-4081-8ece-9b5950a94120___RS_Erly.B 7814.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\85487c92-0a3d-4dd9-a8f9-6d7b7e1887e6___RS_HL 9789.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\4e6e9475-7cdb-443b-aacf-3e10d937e1a3___JR_HL 8290.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Early_blight\08fe6531-bb66-4e0a-98b3-4b86a794f9f9___RS_Erly.B 7483.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\ae581c9f-2be2-4ca8-b27d-5a333d15012c___RS_Late.B 5170.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\f0a9bd86-99c9-45d9-afe1-ca6cf6bbcdd6___RS_HL 9722.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\0864ab65-d40d-4902-8213-09df86cf049e___GH_HL Leaf 400.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2096.JPG,Corn_(maize)___Common_rust_
"data\plant_village\Pepper,_bell___Bacterial_spot\9e49a6d8-11fa-4d46-9f2d-9580da511696___NREC_B.Spot 1930.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___healthy\66778100-7006-4592-9704-90ea0d7131dd___RS_HL 9740.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\9dbff8df-4ad1-46ec-96d7-4f35a27e2d5d___JR_B.Spot 8987.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___healthy\c02e2bda-f235-4538-b630-7af68169c8be___JR_HL 8388.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\9c42acb9-3794-41d5-acc0-3c4949aa5e52___RS_HL 0442.JPG,Tomato___healthy
data\plant_village\Potato___Late_blight\33938ff2-ee2c-4571-96dd-6229a0cb4e0c___RS_LB 5184.JPG,Potato___Late_blight
data\plant_village\Tomato___Late_blight\239111ba-7348-4075-bacb-e206d440ecc8___RS_Late.B 5389.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\5300bf32-485d-4978-9099-3175fb666da8___GH_HL Leaf 475.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\d37f4830-1504-4052-b4ec-501d170d3e83___JR_HL 8107.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Leaf_Mold\bd569413-f52c-4e92-9bfb-54e2baae7d31___Crnl_L.Mold 6645.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\cdf10741-0ed4-4a27-a2e9-8970e4426730___RS_HL 0356.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\e9f02b46-dbb7-4f41-a1dc-6fe5dfe13d23___RS_HL 9821.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\284b0fae-ce3c-43e7-acc6-e9a22bd6eb6f___JR_B.Spot 9074.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___healthy\7c6366da-565f-4314-b58d-a5665b6f15af___JR_HL 8112.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\b840b04b-5909-4e35-beb8-7f53098975b1___RS_HL 0324.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2652.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Leaf_Mold\16081062-4baf-4be7-923b-d197803282da___Crnl_L.Mold 8686.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Late_blight\2565077d-44d3-4213-82c2-bf5ae9a64368___RS_LB 3295.JPG,Potato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1930.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Leaf_Mold\da83c654-4106-45be-b410-28ae89d93e22___Crnl_L.Mold 7054.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\24b7c39d-53c6-4a71-8dc0-83dff1a877d0___RS_HL 0465.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\2e493726-b22f-4e98-a2e2-418a4425cafb___GHLB2 Leaf 8911.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\26e2e7aa-800c-421b-92e8-3e20c5f5757e___RS_Erly.B 7656.JPG,Tomato___Early_blight
data\plant_village\Potato___Early_blight\a4cc86e3-ac4d-4b72-89a2-6cf106831908___RS_Early.B 7346.JPG,Potato___Early_blight
data\plant_village\Tomato___Late_blight\f843c76c-a7d4-4031-abe2-9245602fbb15___GHLB_PS Leaf 49.1 Day 18.jpg,Tomato___Late_blight
data\plant_village\Tomato___healthy\4777e41f-56f7-4f8f-9c81-33bd40ca1d0b___RS_HL 9875.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\461aa22a-be16-4dc8-9d60-45c38eabe504___RS_HL 0501.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\0894c925-d193-412f-961d-d188b57ee337___GH_HL Leaf 393.JPG,Tomato___healthy
data\plant_village\Potato___Early_blight\b6220993-c51f-48fa-bee9-fb5cb89cc0c4___RS_Early.B 7467.JPG,Potato___Early_blight
data\plant_village\Tomato___Late_blight\d28bd097-8584-4269-a82b-43d6f5df787b___RS_Late.B 4832.JPG,Tomato___Late_blight
data\plant_village\Potato___Early_blight\fbc7567e-ce08-4ad0-b8fe-ffd98296ce02___RS_Early.B 8607.JPG,Potato___Early_blight
data\plant_village\Tomato___Leaf_Mold\8a585374-1af5-4577-ba37-d931d79b427a___Crnl_L.Mold 9066.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Late_blight\2b3bc2ea-6604-4b73-9e6d-023211f1ebc4___GHLB2 Leaf 112.2.JPG,Tomato___Late_blight
data\plant_village\Potato___Early_blight\37da60b5-9c33-4fe7-95d4-3a2db2a7702b___RS_Early.B 8359.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\e6d12c88-7d13-4b26-ada8-c5b34ccc77a5___RS_HL 0435.JPG,Tomato___healthy
data\plant_village\Tomato___Early_blight\70de9ac6-f90f-441f-a51f-217f55213234___RS_Erly.B 9568.JPG,Tomato___Early_blight
data\plant_village\Tomato___Leaf_Mold\d159f020-15f7-45c5-9808-a8ef0e5914f5___Crnl_L.Mold 9105.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Leaf_Mold\d6a9f74c-1b76-4b09-860c-2a68fb605c4f___Crnl_L.Mold 6894.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\0902aa8e-e4f7-4c29-b11a-b2b7f24fe61c___GH_HL Leaf 228.1.JPG,Tomato___healthy
data\plant_village\Potato___Early_blight\9cd81447-0701-4969-86aa-5f20269923c5___RS_Early.B 8790.JPG,Potato___Early_blight
data\plant_village\Tomato___healthy\1d598eb4-b055-4c4c-8b7e-b60990804957___RS_HL 9838.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\c5572d69-6c3d-4f35-92d8-7472f9fd8e1f___JR_HL 8900.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1740.JPG,Corn_(maize)___Common_rust_
data\plant_village\Potato___Late_blight\7050bb1d-af0d-47c4-8f35-23b9561b8024___RS_LB 3313.JPG,Potato___Late_blight
"data\plant_village\Pepper,_bell___healthy\9d98fc3b-9583-41d2-84e5-80689499f1c8___JR_HL 7913.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Early_blight\4c524fa6-db92-41e1-8d32-84732f78343f___RS_Erly.B 7768.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\776714ac-7a89-4449-bde9-9b9911f1a371___RS_HL 9886.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\39535fa7-1b38-4828-9294-da1c24aa33ef___RS_Late.B 6901.JPG,Tomato___Late_blight
data\plant_village\Potato___Late_blight\ebd47dca-590b-43c4-812d-32f95b776690___RS_LB 3834.JPG,Potato___Late_blight
"data\plant_village\Pepper,_bell___healthy\4afe528f-0d52-41ba-8fe5-009b3548858c___JR_HL 7898.JPG","Pepper,_bell___healthy"
data\plant_village\Potato___Late_blight\d0262161-b887-4357-b707-cde01cf5726d___RS_LB 3044.JPG,Potato___Late_blight
data\plant_village\Tomato___healthy\956eb0b5-8dae-4315-9cea-320dc594b864___RS_HL 0221.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\514076ce-e366-4b68-a736-9346cd9a5f61___NREC_B.Spot 9190.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1870.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Leaf_Mold\61cade04-60b3-44bf-88f3-88583c90f49e___Crnl_L.Mold 9148.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Early_blight\f4e5115b-ca57-4f02-9271-0c8eda45717e___RS_Erly.B 8317.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\99fcb52b-0e4f-47a6-b350-1d49d26bc649___GH_HL Leaf 298.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\9309c2d7-07ea-4dfb-a79e-2e9128d38a75___GHLB2 Leaf 107.3.JPG,Tomato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2678.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Late_blight\fb584346-7e1d-46d6-ae0b-365b6ccad7ce___GHLB2 Leaf 8981.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\b427ec05-0b9a-45c6-8148-cbddad66e99d___GH_HL Leaf 516.3.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\4806eef9-06a4-4da8-9327-939641fbb260___RS_HL 9692.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\ba1efeef-5033-4193-bb7a-8b0c4da81cb8___JR_HL 8084.JPG","Pepper,_bell___healthy"
data\plant_village\Potato___Early_blight\aa7e5986-6fa1-4b25-9861-cbae56886280___RS_Early.B 8545.JPG,Potato___Early_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2015.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Late_blight\e1fa1e4a-7259-496f-8066-79678f36f3e8___GHLB2 Leaf 8593.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\b8c7fc71-e9f0-4246-9a64-f535eba91fa4___JR_B.Spot 3302.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Early_blight\265940d8-b4e9-446f-b977-3cbd9ee4f789___RS_Erly.B 9595.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\f879b7d4-efe4-4b31-8a89-35db50d561c9___RS_Late.B 4897.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\d8ce2a81-c366-4a88-bde3-ee9a98e1e30c___RS_HL 0036.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\0d4e35c0-f6d6-4810-9522-14e1d491a05d___JR_HL 8673.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\78c0dc05-0bac-43fd-81b5-b10b61f666cd___GH_HL Leaf 481.5.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\c062b009-0e6e-4cf0-976c-004a06b7e6ee___GHLB2 Leaf 8881.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\29345423-647e-4e1b-81f4-16d8cfc0e137___RS_Erly.B 7422.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___healthy\fd4cbc98-dde3-45ce-b794-f6b037eed2b9___JR_HL 7606.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\dbedc9c1-d7f8-4eef-b4bf-d36689c57c60___GHLB Leaf 27 Day 12.JPG,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\19fc6cfd-7430-4695-a4e1-5c947193ab46___Crnl_L.Mold 6922.JPG,Tomato___Leaf_Mold
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2764.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1787.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Early_blight\7a5ff9e1-b55d-490c-ac89-8b5003e407d9___RS_Erly.B 8231.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___healthy\77ad521e-4c00-4195-a0b0-fa6f1d10f023___JR_HL 8129.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\d7c5d552-e2c6-4868-ac4a-4ffa33151632___RS_HL 0502.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\f73f0a24-d25e-4a0c-9e68-3b57d467090d___JR_B.Spot 8829.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Potato___Early_blight\cb615e16-034f-465a-89a6-91e091698723___RS_Early.B 6796.JPG,Potato___Early_blight
data\plant_village\Tomato___Late_blight\f25bcf32-3bf7-4137-9d9a-ab195d4f7d3f___GHLB2 Leaf 9049.JPG,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\73c3f88e-6802-4afd-9065-431bbe6a312d___Crnl_L.Mold 6970.JPG,Tomato___Leaf_Mold
